LECROYHDO6104A,50476,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,23-Jun-2025 11:38:38,0                 
Time,Ampl
2.8078861e-06,-0.00025625
2.8079861e-06,-0.0005
2.8080861e-06,-0.00064375
2.8081861e-06,-0.00064375
2.8082861e-06,-0.00050625
2.8083861e-06,-0.0003
2.8084861e-06,-0.00010625
2.8085861e-06,-1.25e-05
2.8086861e-06,-5e-05
2.8087861e-06,-0.0002
2.8088861e-06,-0.00040625
2.8089861e-06,-0.00058125
2.8090861e-06,-0.00065625
2.8091861e-06,-0.0006
2.8092861e-06,-0.0004375
2.8093861e-06,-0.0002375
2.8094861e-06,-6.875e-05
2.8095861e-06,0
2.8096861e-06,-4.375e-05
2.8097861e-06,-0.00016875
2.8098861e-06,-0.0003125
2.8099861e-06,-0.0004
2.8100861e-06,-0.00038125
2.8101861e-06,-0.00025
2.8102861e-06,-3.125e-05
2.8103861e-06,0.0002
2.8104861e-06,0.000375
2.8105861e-06,0.00043125
2.8106861e-06,0.00036875
2.8107861e-06,0.0002
2.8108861e-06,-6.25e-06
2.8109861e-06,-0.0001875
2.8110861e-06,-0.00029375
2.8111861e-06,-0.0003
2.8112861e-06,-0.000225
2.8113861e-06,-0.00011875
2.8114861e-06,-2.5e-05
2.8115861e-06,0
2.8116861e-06,-5e-05
2.8117861e-06,-0.0001625
2.8118861e-06,-0.00029375
2.8119861e-06,-0.0004
2.8120861e-06,-0.00044375
2.8121861e-06,-0.0004125
2.8122861e-06,-0.00031875
2.8123861e-06,-0.0002
2.8124861e-06,-9.375e-05
2.8125861e-06,-3.125e-05
2.8126861e-06,-3.75e-05
2.8127861e-06,-0.0001
2.8128861e-06,-0.0002
2.8129861e-06,-0.0003125
2.8130861e-06,-0.00041875
2.8131861e-06,-0.0005
2.8132861e-06,-0.00055625
2.8133861e-06,-0.00059375
2.8134861e-06,-0.00060625
2.8135861e-06,-0.0006
2.8136861e-06,-0.00056875
2.8137861e-06,-0.00051875
